source,hive_object_db_name,hive_object_name,hive_object_s3prefix_data_size_gb,hive_object_classification,hive_object_columns,hive_object_type,hive_object_s3bucket,hive_object_s3prefix,hive_object_partition_columns,hive_object_creation_date,hive_object_last_access_date,hive_object_last_accessed_num_of_days_ago,hive_object_s3prefix_last_modified_dt,hive_object_s3prefix_last_modified_num_of_days_ago,hive_object_access_status,hive_object_distinct_users_accessed_in_last_90_days,hive_object_write_iam_roles,s3bucket,s3prefix,s3prefix_data_size_gb,s3prefix_sub_classification,s3prefix_last_modified_dt,s3prefix_last_modified_num_of_days_ago,s3prefix_access_status,s3prefix_write_iam_roles
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--reliability-operations--prod--us-east-1,R6SH7-84RFL-GQQ8S-CW6MF-W5RWR/2020-01-23/00/23.60.91.6,0.06,prod,2020-01-23,1457,Inactive,"QualityAnalyticsWG, QualityAnalytics"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,csengineeringwg/csdw/omobo/orders/20230226/01,1.54,prod,2023-02-26,327,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,csengineeringwg/csdw/salesforce/chat_transcript/archive/20230209/01,0.02,prod,2023-02-09,344,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--fulfillment--prod--us-east-1,qa/fh2/curated/fulfillment/sapcds/delta_format/delivery_date_event/ltst,17.41,non_prod,2023-12-18,32,Active,"SCinv, RDFengineeringWG, RDFengineering, SCTransportation"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,member_ltv/PROD/v2/2022-08-05/modeling/models/EMEA/2017_Q3,2.02,prod,2022-09-10,496,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--customer-data-science--prod--us-east-1,airbot/prod/EU/modelName=themis_eu_inference_map/runDt=2023-04-06-15-00/get_predictions/stepId=2057177/predictions_distributed,0.07,prod,2023-04-07,287,Inactive,"AIRBOTSWG, GCKengineeringWGReadOnly"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160819/logs/j-36LVCT8DFIHTQ/containers/application_1471572787526_0001/container_1471572787526_0001_01_011469,0.01,prod,2016-08-19,2709,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,member_ltv/TEST/2017-07-08/modeling/models/NA/2014_Q4,1.47,prod,2021-02-20,1063,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--fulfillment--prod--us-east-1,prod/curated/Curated_Staging/Delivery_Item/2022-07-09-05:35:38_AMERICAS_AP,0.01,prod,2022-07-09,559,Inactive,"SCinv, DSMimengineering, RDFengineeringWG, RDFengineering, SCTransportation"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikedigitalplatform,emr/platform/gck_bi_stg.db/tky_buying_members_total_display_all_test_empty_soul/1,0.21,prod,2023-04-13,281,Inactive,"GCKWG, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap-nampa,qa/squad4/Product_Unlock/in_seasons_comps_refreshes/refresh-2023_04_05_132805-FW/model_output,0.01,non_prod,2023-04-05,289,Inactive,"NAEDAEngineeringDev, Dsti, MPAA, NAEDAEngineeringWG, NAEDAEngineeringWGDev, NAEDAEngineering"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,member_ltv/PROD/v2/2023-04-28/modeling/models/NA/2021_Q4,5.26,prod,2023-04-28,266,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-ingress-secure-east,ncp/prod/mail/ses/input/stream/2023/08/06/14,28.89,prod,2023-08-06,166,Inactive,"RDFengineeringWG, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--marketplace-analytics-wtc--prod--us-east-1,prod/mpaapos/pipeline=fh/version=1.1.0/env=prod/train_end_date=2023-06-17/step_name=model_selection/run_dt=20230622-235453/output=L2/L2,0.01,prod,2023-06-22,211,Inactive,"WTCEngineering, MPAAPOS"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=alsnn_best_sellers_serving/runDt=2022-10-10/style_meta/stepId=1637720/style_meta,0.05,prod,2022-10-13,463,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,innovation_direct/batch_affinity/ce3aad8c-d382-487b-bfd1-b991a6eb1d1d/aq0067/2018-02-20/prediction/affinityscores,0.05,prod,2019-06-03,1691,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,ck/prod/campaign/gem/audience_output/archive/2017-11-22/us_weekly_C8730_20171126_GADH,0.03,prod,2017-11-22,2249,Inactive,"CDEAYOPWG, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,inbound-vendor,archive/urban-airship/CLOSE/2017_09_24/t3Us_93ASi6WRNSaq7Is7g,0.08,prod,2017-09-25,2307,Inactive,
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,prod/modelName=membership_churn_v3/runDt=2023-12-24/emea_u_scores/stepId=2974492/scores,2.07,prod,2023-12-31,19,Active,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/PROD_rdf_dom_clean_incremental_aggregate/20161125/logs/j-1U4DCD2VJ76BZ/hadoop-mapreduce/history/2016/11/25/000000,0.01,prod,2016-11-25,2611,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity__metric_summary/20160620/logs/j-VBB1Q9C3ZJYV/containers/application_1466389429599_0002/container_1466389429599_0002_01_134482,0.01,prod,2016-06-20,2769,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160708/logs/j-3NB65R1A1A215/containers/application_1467957508381_0002/container_1467957508381_0002_01_585727,0.01,prod,2016-07-08,2751,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-managed-east,csengineeringwg/csdw_raw_to_be_processed/swd/case/20211112/10,0.02,prod,2021-11-12,798,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=searchrel_v0/runDt=2023-10-23/LimitlessEdge/stepId=2696283/wrapper/app_Faiss_SC/cn_zh-Hans,0.02,prod,2023-10-24,87,Active,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap2-us-e1-platform,sparklogs/emr/platform/log/j-EV0DVOUM6WKX,0.16,prod,2024-01-03,16,Active,
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/dev_ngap_dtcdol_dom_kpi/20170726/logs/j-2SWN483XY8MQ3/containers/application_1501082430613_0002/container_1501082430613_0002_01_000560,0.03,prod,2017-07-26,2368,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap2-us-e1-platform,sparklogs/emr/platform/log/j-WXK21SR7NRT7,0.01,prod,2024-01-07,12,Active,
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/prod_omega_mobile_integrated_app_stg/20171007/logs/j-1MMSUNDBVCU5Q/containers/application_1507346587264_0002/container_1507346587264_0002_01_000015,0.02,prod,2017-10-07,2295,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--ship--prod--us-east-1,goalaa/prod/pred_edd/standard_model/sample/archive/model/2021-11/220033,1.69,prod,2021-11-22,788,Inactive,"SCinv, RDFengineeringWG, RDFengineering, SCTransportation, GOaLAA"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,uls-integration-ngap,id=7a3fc4ad-0d85-4882-b4a9-0d70a1da7a21-DEACTIVATE,0.02,prod,2021-10-08,833,Inactive,GCKengineeringWG
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160729/logs/j-JNUEM75NB8TM/containers/application_1469757341844_0001/container_1469757341844_0001_01_082817,0.01,prod,2016-07-29,2730,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-retail-managed,prod/apla-partner-data/managed/curated/3pl-demand/3pl_external_order_line_curated_final_test/lazada,0.29,prod,2022-12-24,391,Inactive,"APLAEDAEngineering, APLAEDAEngineeringWG, EUBI, RDFengineeringWG, DTCengineeringWG, RDFengineering, DTCengineering"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap2-us-e1-platform,sparklogs/emr/platform/log/j-1N9U3C9EERQG3,0.06,prod,2024-01-12,7,Active,
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,inbound-vendor,archive/urban-airship/LOCATION/2016_04_09/rnAT8Bs_R4aZYD-0YMbPqw,0.01,prod,2016-05-19,2801,Inactive,
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=JP_buildDataALS_v1_01/runDt=2023-09-23/buildData/stepId=2582095/train_val_features,13.68,prod,2023-09-25,116,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikedigitalplatform,emr/platform/qa_cms.db/thread_test/_temporary/0/task_20221107111532_0002_m_005744,0.03,prod,2022-11-07,438,Inactive,"GCKWG, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,csengineeringwg/archive/csdw/genesys/DATE_TIME/2022-11-13/DATE_TIME_20221113210000,0.01,prod,2022-11-14,431,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--reliability-operations--prod--us-east-1,R6SH7-84RFL-GQQ8S-CW6MF-W5RWR/2020-02-04/09/23.200.237.197,0.01,prod,2020-02-04,1445,Inactive,"QualityAnalyticsWG, QualityAnalytics"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,dtc-analytics,prod/POS_IM_FRANCH_SILH/archive/72/FW_POS_FRAN_AGG_DATA,0.05,prod,2020-03-13,1407,Inactive,"DTC, Dsti, EDAAMLWG, MPAA, DTCengineeringWG, DTCengineering"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=geo_popsort_plus_mBERT_hybrid/runDt=2023-08-11/mBERT_model_EMEA/stepId=2432812/mBERT_wrapper/performance_analysis,0.05,prod,2023-08-12,160,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/PROD_rdf_usa_digital_incremental_aggregate/20170525/logs/j-1ZJ3E12BYJOEJ/em/raw,0.09,prod,2017-05-25,2430,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ngap--pricing--prod--us-east-1,prod/raw/promotions/api/bm_promo_product_exclusions_raw_0628,0.11,prod,2022-06-28,570,Inactive,"PDFengineeringWG, RDFengineeringWG, PDFengineering, RDFengineering"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,searchmetadata/valid_model_weight/modelName=searchrel_v0/runDt=2023-08-31/GlobalAthlete/stepId=2495320/wrapper/com_Faiss_SC__2023-09-02-19-00/ch_en-GB,0.03,prod,2023-09-03,138,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-egress-east,searchengineering/searchsegments/score/embeddings/limitlessedge/20231111/2,3.93,prod,2023-11-11,69,Active,"SearchEngineering, GCKengineering, GCKengineeringWG"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/prod_snkrs_mobile_integrated_app_stg/20180228/logs/j-1WWYHKVSREIMA/containers/application_1519841677870_0007/container_1519841677870_0007_01_000355,0.01,prod,2018-02-28,2151,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/prod_dtc-commerce_digital_order_integration/20170109/logs/j-2QMYYIG4S5S3/em/raw,0.01,prod,2017-01-09,2566,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,digital-secure-archive-east,csengineeringwg/csdw/salesforce/consumer/archive/20221202/18,0.01,prod,2022-12-02,413,Inactive,"CSengineeringWG, CSengineeringWGnonprod"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/prod_consumer_profile_sqoop_raw/20170917/logs/j-QGHC9VPBKNWH/em/agg,0.01,prod,2017-09-17,2315,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity__metric_summary/20160813/logs/j-10GF3EUUQ71WE/containers/application_1471053727438_0002/container_1471053727438_0002_01_036505,0.01,prod,2016-08-13,2715,Inactive,"RFSengineeringWG, Alpha"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nikeplus-ngap-prod,modelName=searchrel_v0/runDt=2023-08-09/GlobalAthlete/stepId=2425307/wrapper/com_Faiss_SC/be_fr,0.04,prod,2023-08-10,162,Inactive,"NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,member_ltv/PROD/2021-01-29/modeling/models/EMEA/2019_Q4,2.43,prod,2021-01-29,1085,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-gck,ltv+/DEV/2019-09-08/modeling/models/NA/2011_Q3,0.61,non_prod,2021-02-06,1077,Inactive,"AIRBOTSWG, GCKWG, GCKengineeringWG, NikePlu, GCK"
s3_prefix,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nike-emr-working,airflow-genie/ck_prod_activity_summary/20160728/logs/j-2K8Q50XTJ7KA4/containers/application_1469730896952_0001/container_1469730896952_0001_01_128326,0.01,prod,2016-07-28,2731,Inactive,"RFSengineeringWG, Alpha"
